keys,en,ru
item.me_export_bus.name,ME Export Bus,ME-шина экспорта
item.me_import_bus.desc,Pulls items from an adjacent inventory/machine into the ME network. Place next to an ME cable and a chest/machine.,Втягивает предметы из соседнего инвентаря/машины в ME-сеть. Ставь рядом с ME-кабелем и сундуком/машиной.
item.me_import_bus.name,ME Import Bus,ME-шина импорта
item.me_interface.desc,Pattern provider: place it next to a machine and encode a processing recipe to automate input and output through the ME network.,Провайдер шаблонов: поставьте рядом с машиной и закодируйте рецепт обработки для автоматической подачи и вывода через МЭ-сеть.
item.me_interface.name,ME Interface,ME-интерфейс
item.me_item_cell_16k.desc,"Item storage cell: up to 25 types, 32,000 pcs. Goes into a drive.","Ячейка хранения предметов: до 25 видов, 32 000 шт. Ставится в накопитель."
item.me_item_cell_16k.name,ME Item Cell 16k,ME-ячейка предметов 16k
item.me_item_cell_1k.desc,"Item storage cell: up to 5 types, 2,000 pcs. Goes into a drive.","Ячейка хранения предметов: до 5 видов, 2 000 шт. Ставится в накопитель."
item.me_item_cell_1k.name,ME Item Cell 1k,ME-ячейка предметов 1k
item.me_item_cell_4k.desc,"Item storage cell: up to 12 types, 8,000 pcs. Goes into a drive.","Ячейка хранения предметов: до 12 видов, 8 000 шт. Ставится в накопитель."
item.me_item_cell_4k.name,ME Item Cell 4k,ME-ячейка предметов 4k
item.me_item_cell_64k.desc,"Item storage cell: up to 50 types, 128,000 pcs. Goes into a drive.","Ячейка хранения предметов: до 50 видов, 128 000 шт. Ставится в накопитель."
item.me_item_cell_64k.name,ME Item Cell 64k,ME-ячейка предметов 64k
item.me_fluid_cell_1k.desc,"Fluid storage cell: up to 2 fluids, 4,000 L. Goes into a drive.","Ячейка хранения жидкостей: до 2 видов, 4 000 л. Ставится в накопитель."
item.me_fluid_cell_1k.name,ME Fluid Cell 1k,ME-ячейка жидкостей 1k
item.me_fluid_cell_4k.desc,"Fluid storage cell: up to 4 fluids, 16,000 L. Goes into a drive.","Ячейка хранения жидкостей: до 4 видов, 16 000 л. Ставится в накопитель."
item.me_fluid_cell_4k.name,ME Fluid Cell 4k,ME-ячейка жидкостей 4k
item.me_fluid_cell_16k.desc,"Fluid storage cell: up to 6 fluids, 64,000 L. Goes into a drive.","Ячейка хранения жидкостей: до 6 видов, 64 000 л. Ставится в накопитель."
item.me_fluid_cell_16k.name,ME Fluid Cell 16k,ME-ячейка жидкостей 16k
item.me_fluid_cell_64k.desc,"Fluid storage cell: up to 9 fluids, 256,000 L. Goes into a drive.","Ячейка хранения жидкостей: до 9 видов, 256 000 л. Ставится в накопитель."
item.me_fluid_cell_64k.name,ME Fluid Cell 64k,ME-ячейка жидкостей 64k
item.me_molecular_assembler.desc,Connects to the ME network and automatically crafts a chosen recipe from stored resources.,Подключается к ME-сети и автоматически крафтит выбранный рецепт из хранимых ресурсов.
item.me_molecular_assembler.name,ME Molecular Assembler,ME молекулярный сборщик
item.me_storage_part_16k.desc,Storage component. Core part for crafting the ME Item Cell 16k.,Компонент хранения. Основа для крафта ME-ячейки предметов 16k.
item.me_storage_part_16k.name,ME Storage Component 16k,ME-компонент хранения 16k
item.me_storage_part_1k.desc,Storage component. Core part for crafting the ME Item Cell 1k.,Компонент хранения. Основа для крафта ME-ячейки предметов 1k.
item.me_storage_part_1k.name,ME Storage Component 1k,ME-компонент хранения 1k
item.me_storage_part_4k.desc,Storage component. Core part for crafting the ME Item Cell 4k.,Компонент хранения. Основа для крафта ME-ячейки предметов 4k.
item.me_storage_part_4k.name,ME Storage Component 4k,ME-компонент хранения 4k
item.me_storage_part_64k.desc,Storage component. Core part for crafting the ME Item Cell 64k.,Компонент хранения. Основа для крафта ME-ячейки предметов 64k.
item.me_storage_part_64k.name,ME Storage Component 64k,ME-компонент хранения 64k
item.me_terminal.desc,"Access the network contents: view, take and put items.","Доступ к содержимому сети: смотреть, доставать и класть предметы."
item.me_terminal.name,ME Terminal,ME-терминал
item.miasma_boots.desc,Sealed boots that keep out swamp miasma. Equip them to safely enter the Swamp.,"Герметичные ботинки против болотных миазмов. Надень, чтобы безопасно входить в Болото."
item.miasma_boots.name,Miasma Boots,Ботинки Миазмов
item.microchip.desc,A silicon crystal in a plastic case. Basic logic element.,Кремниевый кристалл в пластиковом корпусе. Базовый логический элемент.
item.microchip.name,Microchip,Микросхема
item.molecular_transformer.desc,Compresses coal and gravel into solid matter. Extremely power-hungry (200 EU/s).,Сжимает уголь и гравий в твёрдую материю. Очень прожорлив до энергии (200 EU/с).
item.molecular_transformer.name,Molecular Transformer,Молекулярный преобразователь
item.motherboard.desc,"Printed board that unites the processor, memory and microchips.","Печатная плата, объединяющая процессор, память и микросхемы."
item.motherboard.name,Motherboard,Материнская плата
item.motor.desc,"Electric motor of a rotor, copper winding and magnets. The moving part of pumps and machines.","Электромотор из ротора, медной обмотки и магнитов. Движущая часть насосов и станков."
item.motor.name,Motor,Мотор
item.mushroom.desc,A forest mushroom. Grows in tree shade and in the swamp.,Лесной гриб. Растёт в тени деревьев и на болоте.
item.mushroom.name,Mushroom,Гриб
item.mythril_ingot.desc,Rare magical alloy. Lightweight and strong.,Редкий магический сплав. Лёгкий и прочный.
item.mythril_ingot.name,Mithril Ingot,Мифриловый слиток
item.mythril_ore.desc,An exceptionally durable ore with a cold arcane glow.,Исключительно прочная руда с холодным мистическим свечением.
item.mythril_ore.name,Mythril Ore,Мифриловая руда
item.nickel_dust.desc,Fine nickel powder. Used in steel alloys and plating.,Мелкий никелевый порошок. Для стальных сплавов и покрытий.
item.nickel_dust.name,Nickel Dust,Никелевая пыль
item.nickel_ore.desc,Raw nickel ore. Used in steel alloys and plating.,Сырая никелевая руда. Для стальных сплавов и покрытий.
item.nickel_ore.name,Nickel Ore,Никелевая руда
item.oil_pump.desc,Powered pumpjack. Must stand on the center of an oil deposit. Buffer: 150 L.,Насос с приводом. Должен стоять в центре нефтяной залежи. Буфер: 150 л.
item.oil_pump.name,Oil Pump,Нефтяной насос
item.page_cryo_mantle.desc,A torn codex page. Carry it to unlock the Cryo Mantle recipe.,"Вырванная страница книги. Носи с собой, чтобы разблокировать рецепт Крио Мантии."
item.page_cryo_mantle.name,Page: Cryo Mantle,Страница: Крио Мантия
item.page_miasma_boots.desc,A torn codex page. Carry it to unlock the Miasma Boots recipe.,"Вырванная страница книги. Носи с собой, чтобы разблокировать рецепт Ботинок Миазмов."
item.page_miasma_boots.name,Page: Miasma Boots,Страница: Ботинки Миазмов
item.page_primeval_potion.desc,A torn codex page. Carry it to unlock the Primeval Potion recipe.,"Вырванная страница книги. Носи с собой, чтобы разблокировать рецепт Первозданного Зелья."
item.page_primeval_potion.name,Page: Primeval Potion,Страница: Первозданное Зелье
item.page_sand_amulet.desc,A torn codex page. Carry it to unlock the Sand Amulet recipe.,"Вырванная страница книги. Носи с собой, чтобы разблокировать рецепт Песчаного Амулета."
item.page_sand_amulet.name,Page: Sand Amulet,Страница: Песчаный Амулет
item.page_savage_belt.desc,A torn codex page. Carry it to unlock the Savage Belt recipe.,"Вырванная страница книги. Носи с собой, чтобы разблокировать рецепт Пояса Дикаря."
item.page_savage_belt.name,Page: Savage Belt,Страница: Пояс Дикаря
item.page_sun_crown.desc,A torn codex page. Carry it to unlock the Sun Crown recipe.,"Вырванная страница книги. Носи с собой, чтобы разблокировать рецепт Солнечной Короны."
item.page_sun_crown.name,Page: Sun Crown,Страница: Солнечная Корона
item.page_thermal_gloves.desc,A torn codex page. Carry it to unlock the Thermal Gloves recipe.,"Вырванная страница книги. Носи с собой, чтобы разблокировать рецепт Тепловых Перчаток."
item.page_thermal_gloves.name,Page: Thermal Gloves,Страница: Тепловые Перчатки
item.page_void_respirator.desc,A torn codex page. Carry it to unlock the Void Respirator recipe.,"Вырванная страница книги. Носи с собой, чтобы разблокировать рецепт Респиратора Пустоты."
item.page_void_respirator.name,Page: Void Respirator,Страница: Респиратор Пустоты
item.plant_fiber.desc,A bundle of plant fibers for ropes and weaving.,Пучок растительных волокон для верёвок и плетения.
item.plant_fiber.name,Plant Fiber,Растительное волокно
item.plastic.desc,Polymer of rubber and coal dust. Base of electronic boards and casings.,Полимер из резины и угольной пыли. Основа электронных плат и корпусов.
item.plastic.name,Plastic,Пластик
item.platinum_dust.desc,Fine platinum powder. Used in advanced catalysts and circuits.,Мелкий платиновый порошок. Для продвинутых катализаторов и схем.
item.platinum_dust.name,Platinum Dust,Платиновая пыль
item.platinum_ore.desc,Rare platinum ore. Used in advanced catalysts and circuits.,Редкая платиновая руда. Для продвинутых катализаторов и схем.
item.platinum_ore.name,Platinum Ore,Платиновая руда
item.platinum_plate.desc,Thin platinum sheet. Used in end-game electronics.,Тонкий платиновый лист. Для электроники конца игры.
item.platinum_plate.name,Platinum Plate,Платиновая пластина
item.primeval_potion.desc,Wards off ancient spores — the key to the Primeval Thicket. (Access effect not wired yet.),Отгоняет древние споры — ключ к Первобытным Дебрям. (Эффект доступа ещё не реализован.)
item.primeval_potion.name,Primeval Potion,Первозданное Зелье
item.primitive_axe.desc,Chops wood.,Рубит дерево.
item.primitive_axe.name,Primitive Axe,Примитивный топор
item.primitive_bucket.desc,A rope-bound wooden bucket.,"Деревянное ведро, обвязанное верёвкой."
item.primitive_bucket.name,Primitive Bucket,Примитивное ведро
item.primitive_crusher.desc,Hand-cranked crusher. Slowly grinds ore into metal dust without electricity.,Дробилка с ручным приводом. Медленно перемалывает руду в металлическую пыль без электричества.
item.primitive_crusher.name,Primitive Crusher,Примитивная дробилка
item.primitive_drill.desc,"Place on a Tier-1 vein core (copper, coal) to slowly auto-mine ore. Has no output side — open the drill to collect the ore by hand.","Ставится на сердцевину жилы ур.1 (медь, уголь) для медленной добычи. Без выхода — открой бур, чтобы забрать руду вручную."
item.primitive_drill.name,Primitive Drill,Примитивный бур
item.primitive_pickaxe.desc,Mines stone and blocks.,Добывает камень и блоки.
item.primitive_pickaxe.name,Primitive Pickaxe,Примитивная кирка
item.primitive_sword.desc,A basic melee weapon.,Простое оружие ближнего боя.
item.primitive_sword.name,Primitive Sword,Примитивный меч
item.processor.desc,A computing core of microchips. The brain of computers and ME tech.,Вычислительное ядро из микросхем. Мозг компьютеров и ME-техники.
item.processor.name,Processor,Процессор
item.quantum_processor.desc,A processor on quantum gates. Pinnacle of end-game computing tech.,Процессор на квантовых вентилях. Вершина вычислительной техники конца игры.
item.quantum_processor.name,Quantum Processor,Квантовый процессор
item.quantum_solar_panel.desc,Generates 3240 EU/s in daylight. Pinnacle of solar energy.,Вырабатывает 3240 EU/с при свете дня. Вершина солнечной энергетики.
item.quantum_solar_panel.name,Quantum Solar Panel,Квантовая солнечная панель
item.ram.desc,A memory stick for fast data storage. Component of computers and ME drives.,Планка памяти для быстрого хранения данных. Компонент компьютеров и ME-накопителей.
item.ram.name,RAM,Оперативная память
item.resonite_shard.desc,A raw signal crystal mined from resonite deposits in the Forest. Used in Tier 1 circuits and basic sensors.,Необработанный сигнальный кристалл из лесных залежей резонита. Используется в схемах T1 и простых датчиках.
item.resonite_shard.name,Resonite Shard,Резонитовый осколок
item.purified_resonite.desc,"A resonite crystal purified by heating. Used in Tier 2 circuits, terminals, and automation.","Очищенный нагревом кристалл резонита. Используется в схемах T2, терминалах и автоматизации."
item.purified_resonite.name,Purified Resonite,Очищенный резонит
item.resonite_matrix.desc,"A synchronized resonite lattice for Tier 3 circuits, autocrafting, and complex computing machines.","Синхронизированная решётка резонита для схем T3, автокрафта и сложных вычислительных машин."
item.resonite_matrix.name,Resonite Matrix,Резонитовая матрица
item.reed.desc,Swamp reed. Flexible fiber for weaving.,Болотный камыш. Гибкое волокно для плетения.
item.reed.name,Reed,Тростник
item.rotor.desc,Rotating core of a shaft and blades. Base of motors and pumps.,Вращающийся сердечник из вала и лопастей. Основа моторов и насосов.
item.rotor.name,Rotor,Ротор
item.rubber.desc,Vulcanized rubber. Electrical insulator. Used in wire insulation and battery casings.,Вулканизированная резина. Электроизолятор. Для изоляции проводов и корпусов батарей.
item.rubber.name,Rubber,Резина
item.sand_amulet.desc,Wards off desert heat. Equip it to safely enter the Desert.,"Отводит пустынный зной. Надень, чтобы безопасно входить в Пустыню."
item.sand_amulet.name,Sand Amulet,Песчаный Амулет
item.ent_heart.name,Ent Heart,Сердце Энта
item.ent_heart.desc,A living core suitable for electrical research.,Живое ядро для исследования электричества.
item.dune_core.name,Dune Core,Ядро дюн
item.dune_core.desc,A compressed core recovered from the Dune Colossus.,Сжатое ядро Песчаного колосса.
item.frost_core.name,Frost Core,Морозное ядро
item.frost_core.desc,A frozen mechanism from the Frost Warden.,Замёрзший механизм Ледяного стража.
item.hydra_gland.name,Hydra Gland,Железа гидры
item.hydra_gland.desc,A reactive organ used for industrial chemistry research.,Реактивный орган для исследования промышленной химии.
item.thorn_heart.name,Thorn Heart,Терновое сердце
item.thorn_heart.desc,A regenerative heart carrying bioengineering secrets.,Регенерирующее сердце с секретами биоинженерии.
item.solar_core.name,Solar Core,Солнечное ядро
item.solar_core.desc,A concentrated source of solar energy.,Концентрированный источник солнечной энергии.
item.leviathan_scale.name,Leviathan Scale,Чешуя левиафана
item.leviathan_scale.desc,A molecularly stable scale from the abyss.,Молекулярно стабильная чешуя из бездны.
item.rot_crown.name,Rot Crown,Корона гнили
item.rot_crown.desc,A toxic crown containing frontier catalysts.,Токсичная корона с катализаторами пограничных технологий.
item.primal_core.name,Primal Core,Первобытное ядро
item.primal_core.desc,A quantum-active core used in final Overworld research.,Квантово-активное ядро для финального исследования основного мира.
item.savage_belt.desc,Belt of a jungle survivor. Equip it to safely enter the Jungle.,"Пояс выжившего в джунглях. Надень, чтобы безопасно входить в Джунгли."
item.savage_belt.name,Savage Belt,Пояс Дикаря
item.silver_dust.desc,Fine silver powder. Smelt it into a silver ingot.,Мелкий серебряный порошок. Переплавь в серебряный слиток.
item.silver_dust.name,Silver Dust,Серебряная пыль
item.silver_ingot.desc,Refined silver. Excellent electrical conductor.,Очищенное серебро. Отличный проводник электричества.
item.silver_ingot.name,Silver Ingot,Серебряный слиток
item.silver_ore.desc,Raw silver ore. Smelt it into ingots.,Сырая серебряная руда. Переплавь в слитки.
item.silver_ore.name,Silver Ore,Серебряная руда
item.solar_panel.desc,Generates 40 EU/s. Place adjacent to cables to power machines.,Вырабатывает 40 EU/с. Ставь рядом с кабелями для питания машин.
item.solar_panel.name,Basic Solar Panel,Базовая солнечная панель
item.solid_matter.desc,Matter compressed in a molecular transformer. Ultra-dense end-game material.,Спрессованная в молекулярном преобразователе материя. Сверхплотный материал для конца игры.
item.solid_matter.name,Solid Matter,Твёрдая материя
item.spring.desc,Spring wound from steel wire. Part of motors and mechanisms.,Свитая из стальной проволоки пружина. Деталь моторов и механизмов.
item.spring.name,Spring,Пружина
item.steel_bucket.desc,A large steel liquid container.,Большая стальная ёмкость для жидкостей.
item.steel_bucket.name,Steel Bucket,Стальное ведро
item.steel_drill.desc,A faster drill that also reaches gold and silver veins. Ore exits from the arrow side onto an adjacent conveyor or into a chest.,"Более быстрый бур, достающий также золотые и серебряные жилы. Руда выходит со стороны стрелки на соседний конвейер или в сундук."
item.steel_drill.name,Steel Drill,Стальной бур
item.steel_dust.desc,Fine steel powder. Smelt it into a steel ingot.,Мелкий стальной порошок. Переплавь в стальной слиток.
item.steel_dust.name,Steel Dust,Стальная пыль
item.steel_ingot.desc,Hardened iron-carbon alloy. Strong structural material.,Закалённый железоуглеродистый сплав. Прочный конструкционный материал.
item.steel_ingot.name,Steel Ingot,Стальной слиток
item.steel_pickaxe.desc,"A steel pickaxe. Fast mining, reaches all common deposits.","Стальная кирка. Быстрая добыча, достаёт все обычные залежи."
item.steel_pickaxe.name,Steel Pickaxe,Стальная кирка
item.steel_plate.desc,Flat steel sheet. Used in advanced machine casings.,Плоский стальной лист. Для продвинутых корпусов машин.
item.steel_plate.name,Steel Plate,Стальная пластина
item.steel_rod.desc,"Sturdy steel rod. Blank for springs, shafts and frames.","Прочный стальной стержень. Заготовка для пружин, валов и каркасов."
item.steel_rod.name,Steel Rod,Стальной стержень
item.steel_spring.desc,Elastic spring from a steel rod. Part of motors and advanced mechanisms.,Упругая пружина из стального стержня. Деталь моторов и продвинутых механизмов.
item.steel_spring.name,Steel Spring,Стальная пружина
item.stick.desc,A fallen branch used to make primitive tools.,Упавшая ветка для изготовления примитивных инструментов.
item.stick.name,Stick,Палка
item.stone.desc,Rough stone for primitive tools.,Грубый камень для примитивных инструментов.
item.stone.name,Stone,Камень
item.sun_crown.desc,Deflects searing heat. Equip it to safely enter the Sunny Canyon.,"Отражает испепеляющий зной. Надень, чтобы безопасно входить в Солнечный Каньон."
item.sun_crown.name,Sun Crown,Солнечная Корона
item.super_computer.desc,A rack of many processors and memory. Controls the largest ME networks and molecular synthesis.,Стойка из множества процессоров и памяти. Управляет крупнейшими ME-сетями и молекулярным синтезом.
item.super_computer.name,Supercomputer,Суперкомпьютер
item.thermal_gloves.desc,Heat-retaining gloves. Equip them to safely enter the Snow.,"Утепляющие перчатки. Надень, чтобы безопасно входить в Снега."
item.thermal_gloves.name,Thermal Gloves,Тепловые Перчатки
item.tin_dust.desc,Fine tin powder. Smelt it into a tin ingot.,Мелкий оловянный порошок. Переплавь в оловянный слиток.
item.tin_dust.name,Tin Dust,Оловянная пыль
item.tin_ingot.desc,Soft tin metal. Used in bronze alloys.,Мягкий металл олово. Для бронзовых сплавов.
item.tin_ingot.name,Tin Ingot,Оловянный слиток
item.tin_ore.desc,Raw tin ore. Smelt it into tin ingots.,Сырая оловянная руда. Переплавь в оловянные слитки.
item.tin_ore.name,Tin Ore,Оловянная руда
item.titanium_drill.desc,A high-tier drill reaching titanium and uranium veins. Ore exits from the arrow side onto an adjacent conveyor or into a chest.,"Высокоуровневый бур, достающий титановые и урановые жилы. Руда выходит со стороны стрелки на соседний конвейер или в сундук."
item.titanium_drill.name,Titanium Drill,Титановый бур
item.titanium_ingot.desc,"Ultra-light, high-strength metal for industrial casings.",Сверхлёгкий высокопрочный металл для промышленных корпусов.
item.titanium_ingot.name,Titanium Ingot,Титановый слиток
item.titanium_ore.desc,Rare lightweight ore found deep underground.,"Редкая лёгкая руда, найденная глубоко под землёй."
item.titanium_ore.name,Titanium Ore,Титановая руда
item.tree_resin.desc,Sticky sap harvested from rubber trees. Process in Extractor to get Latex.,Липкий сок с каучуковых деревьев. Обработай в экстракторе для получения латекса.
item.tree_resin.name,Tree Resin,Древесная смола
item.ultimate_solar_panel.desc,Generates 1080 EU/s in daylight. Place next to power cables.,Вырабатывает 1080 EU/с при свете дня. Ставится у проводов электросети.
item.ultimate_solar_panel.name,Ultimate Solar Panel,Ультимативная солнечная панель
item.uranium_dust.desc,Radioactive uranium powder. Handle with care.,Радиоактивный урановый порошок. Обращайся осторожно.
item.uranium_dust.name,Uranium Dust,Урановая пыль
item.uranium_enriched.desc,Highly enriched uranium. Future: advanced nuclear fuel.,Высокообогащённый уран. В будущем: продвинутое ядерное топливо.
item.uranium_enriched.name,Enriched Uranium,Обогащённый уран
item.uranium_ore.desc,Radioactive ore found deep underground. Handle with care.,Радиоактивная руда из глубин. Обращайся осторожно.
item.uranium_ore.name,Uranium Ore,Урановая руда
item.uranium_processed.desc,Refined uranium. Used in Tier 3 batteries. Future: nuclear generators.,Очищенный уран. Для батарей 3-го уровня. В будущем: ядерные генераторы.
item.uranium_processed.name,Processed Uranium,Обработанный уран
item.uranium_raw.desc,Extracted uranium material. Requires further processing.,Извлечённый урановый материал. Требует дальнейшей обработки.
item.uranium_raw.name,Raw Uranium,Сырой уран
item.void_respirator.desc,Filters deadly toxins. Equip it to safely enter the Rotting Bog.,"Фильтрует смертельные токсины. Надень, чтобы безопасно входить в Гниющие Топи."
item.void_respirator.name,Void Respirator,Респиратор Пустоты
item.water_pump.desc,Powered pump for infinite surface water. Buffer: 150 L.,Насос с приводом для бесконечной поверхностной воды. Буфер: 150 л.
item.water_pump.name,Water Pump,Водяной насос
item.mechanical_water_pump.name,Mechanical Water Pump,Механическая водяная помпа
item.mechanical_water_pump.desc,Slow bronze pump for infinite surface water. Needs no electricity and supplies one steam boiler.,Медленная бронзовая помпа для бесконечной поверхностной воды. Не требует электричества и снабжает один паровой котёл.
item.steam_water_pump.name,Steam Water Pump,Паровой водяной насос
item.steam_water_pump.desc,"High-pressure pump that consumes 1 L of steam to extract 16 L of water. Requires a steam bootstrap.","Насос высокого давления, расходующий 1 л пара для добычи 16 л воды. Для запуска нужна первая порция пара."
item.mechanical_inserter.name,Mechanical Inserter,Механический манипулятор
item.mechanical_inserter.desc,Transfers one item every 1.5 seconds from the amber rear port to the green front port. Needs no electricity.,Переносит один предмет каждые 1.5 секунды от жёлтого заднего порта к зелёному переднему. Не требует электричества.
item.watermelon.desc,A juicy watermelon from the savanna. A source of moisture and sugar.,Сочный арбуз из саваны. Источник влаги и сахара.
item.watermelon.name,Watermelon,Арбуз
item.wood.desc,Chopped wood. Used for building and crafting.,Срубленная древесина. Для строительства и крафта.
item.wood.name,Wood,Древесина
item.wood_plank.desc,Processed wooden planks. Can be placed as a block.,Обработанные деревянные доски. Можно ставить как блок.
item.wood_plank.name,Wood Plank,Доска
item.workbench.desc,A crafting table. Place and press F to open.,"Стол для крафта. Поставь и нажми F, чтобы открыть."
item.workbench.name,Workbench,Верстак
item.bronze_plate.desc,Rolled bronze sheet. Core material of steam machines.,Прокатанный бронзовый лист. Основной материал паровых машин.
item.bronze_plate.name,Bronze Plate,Бронзовая пластина
item.steam_boiler.desc,Burns coal to boil water into steam. Feed steam machines through fluid pipes.,"Жжёт уголь и кипятит воду в пар. Питает паровые машины через жидкостные трубы."
item.steam_boiler.name,Steam Boiler,Паровой котёл
item.high_pressure_steam_boiler.name,High-Pressure Steam Boiler,Паровой котёл высокого давления
item.high_pressure_steam_boiler.desc,"Produces 12 L/s of steam with large buffers, but burns fuel twice as fast. Occupies 2x2 tiles.","Производит 12 л пара в секунду и имеет увеличенные баки но сжигает топливо вдвое быстрее. Занимает площадку 2×2."
High-Pressure Steam Boiler,High-Pressure Steam Boiler,Паровой котёл высокого давления
item.steam_crusher.desc,Grinds ore directly into dust with doubled yield. Connect to a boiler with pipes.,"Перемалывает руду сразу в пыль с удвоенным выходом. Подключи трубами к котлу."
item.steam_crusher.name,Steam Crusher,Паровая дробилка
item.steam_furnace.desc,Smelts ores with steam heat — no solid fuel slot needed.,"Плавит руду жаром пара — без топлива в слоте."
item.steam_furnace.name,Steam Furnace,Паровая печь
item.steam_press.desc,Rolls one ingot into two plates using steam pressure.,"Катает 2 пластины из одного слитка давлением пара."
item.steam_press.name,Steam Press,Паровой пресс
item.bronze_bolt.desc,Bronze fastener for early machinery.,Бронзовый крепёж для ранних механизмов.
item.bronze_bolt.name,Bronze Bolt,Бронзовый болт
item.bronze_ring.desc,Bronze sealing ring for pumps and rotors.,Бронзовое уплотнительное кольцо для насосов и роторов.
item.bronze_ring.name,Bronze Ring,Бронзовое кольцо
item.steel_ring.desc,Steel sealing ring for high-tier pumps and rotors.,Стальное уплотнительное кольцо для насосов и роторов.
item.steel_ring.name,Steel Ring,Стальное кольцо
item.copper_foil.desc,Thin copper foil for fine electronics.,Тонкая медная фольга для точной электроники.
item.copper_foil.name,Copper Foil,Медная фольга
item.gold_foil.desc,Thin gold foil for lenses and fine electronics.,Тонкая золотая фольга для линз и точной электроники.
item.gold_foil.name,Gold Foil,Золотая фольга
item.small_bronze_gear.desc,Compact bronze gear for tight mechanisms.,Компактная бронзовая шестерёнка для тесных механизмов.
item.small_bronze_gear.name,Small Bronze Gear,Малая бронзовая шестерня
item.small_steel_gear.desc,Compact steel gear for tight mechanisms.,Компактная стальная шестерёнка для тесных механизмов.
item.small_steel_gear.name,Small Steel Gear,Малая стальная шестерня
item.magnetic_iron_rod.desc,Magnetized iron rod — the heart of every electric motor.,Намагниченный железный стержень — сердце любого электромотора.
item.magnetic_iron_rod.name,Magnetic Iron Rod,Магнитный железный стержень
item.bronze_pipe.desc,Bronze pipe segment for steam-age machinery.,Отрезок бронзовой трубы для машин паровой эры.
item.bronze_pipe.name,Bronze Pipe,Бронзовая труба
item.steel_pipe.desc,Steel pipe segment for industrial machinery.,Отрезок стальной трубы для промышленных машин.
item.steel_pipe.name,Steel Pipe,Стальная труба
item.bronze_rotor.desc,Bronze rotor for pumps and turbines.,Бронзовый ротор для насосов и турбин.
item.bronze_rotor.name,Bronze Rotor,Бронзовый ротор
item.steel_rotor.desc,Steel rotor for pumps and turbines.,Стальной ротор для насосов и турбин.
item.steel_rotor.name,Steel Rotor,Стальной ротор
item.sand.desc,Fine sand. Smelts into glass.,Мелкий песок. Плавится в стекло.
item.sand.name,Sand,Песок
item.glass.desc,Clear glass. Base for lenses.,Прозрачное стекло. Основа для линз.
item.glass.name,Glass,Стекло
item.glass_lens.desc,Polished glass lens for sensors and emitters.,Шлифованная стеклянная линза для сенсоров и эмиттеров.
item.glass_lens.name,Glass Lens,Стеклянная линза
item.gold_lens.desc,Gold-coated precision lens.,Прецизионная линза с золотым напылением.
item.gold_lens.name,Gold Lens,Золотая линза
item.electric_motor_t1.desc,Basic electric motor. Spins tier-1 machines.,Базовый электромотор. Крутит машины первого тира.
item.electric_motor_t1.name,Electric Motor T1,Электромотор T1
item.electric_motor_t2.desc,Advanced electric motor for tier-2 machines.,Продвинутый электромотор для машин второго тира.
item.electric_motor_t2.name,Electric Motor T2,Электромотор T2
item.electric_motor_t3.desc,Industrial electric motor for tier-3 machines.,Промышленный электромотор для машин третьего тира.
item.electric_motor_t3.name,Electric Motor T3,Электромотор T3
item.electric_pump_t1.desc,Basic pump component for fluid machines.,Базовый насосный компонент для жидкостных машин.
item.electric_pump_t1.name,Electric Pump T1,Электронасос T1
item.electric_pump_t2.desc,Advanced pump component for fluid machines.,Продвинутый насосный компонент для жидкостных машин.
item.electric_pump_t2.name,Electric Pump T2,Электронасос T2
item.electric_pump_t3.desc,Industrial pump component for fluid machines.,Промышленный насосный компонент для жидкостных машин.
item.electric_pump_t3.name,Electric Pump T3,Электронасос T3
item.piston_t1.desc,Basic piston component for pressing and pushing.,Базовый поршневой компонент для прессовки и толкания.
item.piston_t1.name,Piston T1,Поршень T1
item.piston_t2.desc,Advanced piston component.,Продвинутый поршневой компонент.
item.piston_t2.name,Piston T2,Поршень T2
item.piston_t3.desc,Industrial piston component.,Промышленный поршневой компонент.
item.piston_t3.name,Piston T3,Поршень T3
item.conveyor_module_t1.desc,Basic item-moving module for machine IO.,Базовый модуль перемещения предметов для ввода-вывода машин.
item.conveyor_module_t1.name,Conveyor Module T1,Конвейерный модуль T1
item.conveyor_module_t2.desc,Advanced item-moving module for machine IO.,Продвинутый модуль перемещения предметов.
item.conveyor_module_t2.name,Conveyor Module T2,Конвейерный модуль T2
item.conveyor_module_t3.desc,Industrial item-moving module for machine IO.,Промышленный модуль перемещения предметов.
item.conveyor_module_t3.name,Conveyor Module T3,Конвейерный модуль T3
item.robotic_arm_t1.desc,Basic robotic arm for automated crafting.,Базовый манипулятор для автоматического крафта.
item.robotic_arm_t1.name,Robotic Arm T1,Манипулятор T1
item.robotic_arm_t2.desc,Advanced robotic arm for automated crafting.,Продвинутый манипулятор для автоматического крафта.
item.robotic_arm_t2.name,Robotic Arm T2,Манипулятор T2
item.robotic_arm_t3.desc,Industrial robotic arm for automated crafting.,Промышленный манипулятор для автоматического крафта.
item.robotic_arm_t3.name,Robotic Arm T3,Манипулятор T3
item.sensor_t1.desc,Basic sensor: lens plus circuit.,Базовый сенсор: линза плюс схема.
item.sensor_t1.name,Sensor T1,Сенсор T1
item.sensor_t2.desc,Advanced sensor with a gold lens.,Продвинутый сенсор с золотой линзой.
item.sensor_t2.name,Sensor T2,Сенсор T2
