keys,en,ru
Pack assembler needs core steel and coke,Pack assembler needs core steel and coke,Сборщику наборов нужны ядро сталь и кокс
Research line is running,Research line is running,Исследовательская линия работает
Research line is ready,Research line is ready,Исследовательская линия готова
Steam Assemblers limit throughput,Steam Assemblers limit throughput,Паровые сборщики ограничивают выпуск
Bottleneck: %s — %.1f packs/min,Bottleneck: %s — %.1f packs/min,Узкое место: %s — %.1f наборов/мин
Connect both assemblers to an output chest with inserters.,Connect both assemblers to an output chest with inserters.,Соедини оба сборщика с выходным сундуком манипуляторами.
STEEL PRODUCTION LINE,STEEL PRODUCTION LINE,СТАЛЬНАЯ ПРОИЗВОДСТВЕННАЯ ЛИНИЯ
Coke,Coke,Кокс
Blast,Blast,Домна
Press,Press,Пресс
Build a Coke Oven,Build a Coke Oven,Построй коксовую печь
Build a Primitive Blast Furnace,Build a Primitive Blast Furnace,Построй примитивную домну
Connect a Steam Press,Connect a Steam Press,Подключи паровой пресс
Connect a Steel Output Chest,Connect a Steel Output Chest,Подключи выходной сундук для стали
Steel logistics disconnected,Steel logistics disconnected,Логистика стальной линии разорвана
Steel conveyor jam,Steel conveyor jam,Затор конвейера стальной линии
Steel inserter output blocked,Steel inserter output blocked,Выход манипулятора стальной линии заблокирован
Coke oven output blocked,Coke oven output blocked,Выход коксовой печи заблокирован
Drain creosote from coke oven,Drain creosote from coke oven,Отведи креозот из коксовой печи
Blast furnace output blocked,Blast furnace output blocked,Выход домны заблокирован
Steel press output blocked,Steel press output blocked,Выход стального пресса заблокирован
Steel press has no steam,Steel press has no steam,В стальном прессе нет пара
Add coal to coke oven,Add coal to coke oven,Добавь уголь в коксовую печь
Blast furnace needs coke,Blast furnace needs coke,Доменной печи нужен кокс
Blast furnace needs iron ingots,Blast furnace needs iron ingots,Доменной печи нужны железные слитки
Steel press is waiting for ingots,Steel press is waiting for ingots,Стальной пресс ожидает слитки
Steel line is running,Steel line is running,Стальная линия работает
Steel line is ready,Steel line is ready,Стальная линия готова
Coke Oven limits steel throughput,Coke Oven limits steel throughput,Коксовая печь ограничивает выпуск стали
Bottleneck: %s — %.1f plates/min,Bottleneck: %s — %.1f plates/min,Узкое место: %s — %.1f пластин/мин
"Connect the coke oven, blast furnace, press, and chest with at least three inserters.","Connect the coke oven, blast furnace, press, and chest with at least three inserters.","Соедини коксовую печь, домну, пресс и сундук минимум тремя манипуляторами."
CREOSOTE RECOVERY LOOP,CREOSOTE RECOVERY LOOP,КРЕОЗОТНЫЙ КОНТУР
Coke Oven,Coke Oven,Коксовая печь
Tank,Tank,Резервуар
Boiler,Boiler,Котёл
Recovery,Recovery,Утилизация
Connect a Fluid Tank,Connect a Fluid Tank,Подключи жидкостный резервуар
Connect a Steam Boiler,Connect a Steam Boiler,Подключи паровой котёл
Creosote recovery is online,Creosote recovery is online,Креозотный контур работает
1 L creosote = 2 seconds of boiler burn time.,1 L creosote = 2 seconds of boiler burn time.,1 л креозота = 2 секунды горения котла.
Creosote recovery: online,Creosote recovery: online,Креозотный контур: работает
Creosote recovery: connect tank and boiler,Creosote recovery: connect tank and boiler,Креозотный контур: подключи резервуар и котёл
STEAM NETWORK [K],STEAM NETWORK [K],ПАРОВАЯ СЕТЬ [K]
No fluid pipe networks detected.,No fluid pipe networks detected.,Жидкостные трубопроводы не обнаружены.
STEAM NETWORK [K]  •  Networks: %d  •  Boilers: %d  •  Machines: %d,STEAM NETWORK [K]  •  Networks: %d  •  Boilers: %d  •  Machines: %d,ПАРОВАЯ СЕТЬ [K]  •  Сетей: %d  •  Котлов: %d  •  Машин: %d
Capacity: %.1f/%.1f L/s  •  Demand: %.1f active / %.1f connected,Capacity: %.1f/%.1f L/s  •  Demand: %.1f active / %.1f connected,Мощность: %.1f/%.1f л/с  •  Спрос: %.1f активный / %.1f подключённый
Steam flow: %.1f L/s  •  Pipe load: %.0f%%  •  Buffer: %.1f L,Steam flow: %.1f L/s  •  Pipe load: %.0f%%  •  Buffer: %.1f L,Поток пара: %.1f л/с  •  Загрузка труб: %.0f%%  •  Буфер: %.1f л
Steam flow: %.1f L/s  •  Pipe limit: %.1f L/s  •  Load: %.0f%%  •  Buffer: %.1f L,Steam flow: %.1f L/s  •  Pipe limit: %.1f L/s  •  Load: %.0f%%  •  Buffer: %.1f L,Поток пара: %.1f л/с  •  Лимит труб: %.1f л/с  •  Загрузка: %.0f%%  •  Буфер: %.1f л
All connected steam machines are supplied.,All connected steam machines are supplied.,Все подключённые паровые машины обеспечены паром.
Without steam: %d — %s,Without steam: %d — %s,Без пара: %d — %s
Installed boilers cannot cover connected demand.,Installed boilers cannot cover connected demand.,Установленные котлы не покрывают подключённый спрос.
REQUEST,REQUEST,ЗАПРОС
Exact item name or ID,Exact item name or ID,Точное название или ID предмета
TARGET,TARGET,ЗАПАС
APPLY,APPLY,ПРИМЕНИТЬ
CLEAR,CLEAR,ОЧИСТИТЬ
Enter an exact item name or ID.,Enter an exact item name or ID.,Введи точное название или ID предмета.
Unknown item: %s,Unknown item: %s,Неизвестный предмет: %s
Warehouse request updated.,Warehouse request updated.,Запрос склада обновлён.
Warehouse request disabled.,Warehouse request disabled.,Запрос склада отключён.
Warehouse request cleared.,Warehouse request cleared.,Запрос склада очищен.
No warehouse request configured.,No warehouse request configured.,Запрос склада не настроен.
Request disabled: %s • %d / %d stored,Request disabled: %s • %d / %d stored,Запрос отключён: %s • хранится %d / %d
Requesting %s • %d / %d stored • %d incoming,Requesting %s • %d / %d stored • %d incoming,Запрос %s • хранится %d / %d • в пути %d
SUPPLY,SUPPLY,ПОСТАВКА
Item name or ID (blank = all),Item name or ID (blank = all),Название или ID (пусто = все)
KEEP,KEEP,ОСТАТОК
Lowest,Lowest,Самый низкий
Highest,Highest,Самый высокий
All items,All items,Все предметы
Warehouse provider updated.,Warehouse provider updated.,Поставщик склада обновлён.
Warehouse provider disabled.,Warehouse provider disabled.,Поставщик склада отключён.
Warehouse provider cleared.,Warehouse provider cleared.,Поставщик склада очищен.
Supplying %s • keep %d • %d available • %s priority,Supplying %s • keep %d • %d available • %s priority,Поставка %s • оставить %d • доступно %d • приоритет: %s
Waiting for higher priority provider,Waiting for higher priority provider,Ожидание поставщика с более высоким приоритетом
REQUEST RULE,REQUEST RULE,ПРАВИЛО ЗАПРОСА
PROVIDER RULE,PROVIDER RULE,ПРАВИЛО ПОСТАВКИ
Rule %d: %s,Rule %d: %s,Правило %d: %s
Empty,Empty,Пусто
%d slots • %d logistics rules,%d slots • %d logistics rules,%d ячеек • правил логистики: %d
LOGISTICS [L]  •  Requesters: %d  •  Providers: %d  •  Demand routes: %d,LOGISTICS [L]  •  Requesters: %d  •  Providers: %d  •  Demand routes: %d,ЛОГИСТИКА [L]  •  Запросов: %d  •  Поставщиков: %d  •  Маршрутов: %d
Missing: %d  •  In transit: %d  •  Supply: %d  •  Blocks: %d  •  Priority waits: %d,Missing: %d  •  In transit: %d  •  Supply: %d  •  Blocks: %d  •  Priority waits: %d,Дефицит: %d  •  В пути: %d  •  Доступно: %d  •  Блокировок: %d  •  Ожиданий приоритета: %d
%s: %d missing / %d incoming / %d supplied,%s: %d missing / %d incoming / %d supplied,%s: дефицит %d / в пути %d / доступно %d
No active shortages.,No active shortages.,Активного дефицита нет.
Top shortages: %s,Top shortages: %s,Главный дефицит: %s
All requested items have a configured supply.,All requested items have a configured supply.,Для всех запрошенных предметов настроена поставка.
Blocked logistics routes need attention.,Blocked logistics routes need attention.,Заблокированные маршруты требуют внимания.
Some requested items have no available provider.,Some requested items have no available provider.,Для части запрошенных предметов нет доступного поставщика.
No logistics problems to navigate.,No logistics problems to navigate.,Нет проблем логистики для навигации.
Problem %d/%d: %s • tile %d:%d • [ / ] navigate,Problem %d/%d: %s • tile %d:%d • [ / ] navigate,Проблема %d/%d: %s • блок %d:%d • навигация [ / ]
%d logistics problems • use [ / ] to navigate,%d logistics problems • use [ / ] to navigate,Проблем логистики: %d • используй [ / ] для навигации
Conveyor jam,Conveyor jam,Затор на конвейере
Inserter destination blocked,Inserter destination blocked,Выход манипулятора заблокирован
No provider for %s,No provider for %s,Нет поставщика для %s
Shortage: %s,Shortage: %s,Дефицит: %s
Logistics problem,Logistics problem,Проблема логистики
All problems,All problems,Все проблемы
Blockages,Blockages,Заторы
Shortages,Shortages,Дефицит
Priority waits,Priority waits,Ожидания приоритета
%d/%d • %s • %s • tile %d:%d • [ / ] navigate • [\] filter,%d/%d • %s • %s • tile %d:%d • [ / ] navigate • [\] filter,%d/%d • %s • %s • блок %d:%d • навигация [ / ] • фильтр [\]
%s: %d problems • [ / ] navigate • [\] filter,%s: %d problems • [ / ] navigate • [\] filter,%s: проблем %d • навигация [ / ] • фильтр [\]
%s: no matching problems • [\] filter,%s: no matching problems • [\] filter,%s: подходящих проблем нет • фильтр [\]
No hidden problems. • [I] hide selected for 60s,No hidden problems. • [I] hide selected for 60s,Скрытых проблем нет • [I] скрыть выбранную на 60 с
Hidden: %d • next returns in %ds • [I] hide selected,Hidden: %d • next returns in %ds • [I] hide selected,Скрыто: %d • ближайшая вернётся через %d с • [I] скрыть выбранную
Logistics blockage,Logistics blockage,Затор логистики
Blocked logistics machines: %d. Press L and use [ / ] to inspect.,Blocked logistics machines: %d. Press L and use [ / ] to inspect.,Заблокировано логистических механизмов: %d. Нажми L и используй [ / ] для проверки.
Logistics supply missing,Logistics supply missing,Отсутствует логистическая поставка
No provider configured for: %s. Press L to inspect.,No provider configured for: %s. Press L to inspect.,Не настроен поставщик для: %s. Нажми L для проверки.
Click to show on map.,Click to show on map.,Нажми, чтобы показать на карте.
Resolved,Resolved,Решено
Problem resolved.,Problem resolved.,Проблема устранена.
All notifications,All notifications,Все уведомления
Active problems,Active problems,Активные проблемы
Resolved problems,Resolved problems,Решённые проблемы
Active: %d • Resolved: %d,Active: %d • Resolved: %d,Активных: %d • Решённых: %d
No matching notifications.,No matching notifications.,Нет подходящих уведомлений.
Clear Resolved,Clear Resolved,Удалить решённые
